"episodes_episode_description","episodes_scenes_characters_married_to","episodes_scenes_characters_sex_type","episodes_episode_air_date","episodes_scenes_characters_title","episodes_scenes_characters_married_type","episodes_scenes_characters_name","episodes_season_num","episodes_scenes_characters_weapon_action","episodes_episode_num","episodes_scenes_alt_location","episodes_opening_sequence_locations","episodes_scenes_scene_start","episodes_scenes_characters_sex_with","episodes_scenes_sub_location","episodes_scenes_characters_married_when","episodes_scenes_characters_manner_of_death","episodes_scenes_characters_killed_by","episodes_episode_title","episodes_scenes_characters_weapon_name","episodes_scenes_characters_sex_when","episodes_scenes_location","episodes_episode_link","episodes_scenes_scene_end"
NULL,NULL,NULL,NULL,NULL,NULL,"Styr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Olly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Othell Yarwyck",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Janos Slynt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Alliser Thorne",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Maester Aemon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Pypar",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Eddison Tollett",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Alliser Thorne",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Janos Slynt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Pypar",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Eddison Tollett",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Hizdahr zo Loraq",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Oznak zo Pahl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Oznak zo Pahl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daario Naharis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Hizdahr zo Loraq",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Oznak zo Pahl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daario Naharis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Oznak zo Pahl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daario Naharis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grey Worm",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daario Naharis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Oznak zo Pahl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daario Naharis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Oznak zo Pahl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daario Naharis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Oznak zo Pahl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daario Naharis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Hizdahr zo Loraq",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jaime entrusts a task to Brienne. Daenerys frees Meereen. Jon is given permission to lead a group of Night's Watchmen to Craster's Keep. Bran and company are taken hostage.",NULL,NULL,"2014-04-27","Khaleesi",NULL,"Grey Worm",4,"has",4,NULL,"King's Landing","0:01:54",NULL,"King's Landing",NULL,"Multiple stabs",NULL,"Oathkeeper","Oathkeeper",NULL,"Meereen","/title/tt2972428/","0:03:48"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Missandei",NULL,"has",NULL,NULL,"Dragonstone","0:03:48",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"Meereen",NULL,"0:04:11"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Grey Worm",NULL,"has",NULL,NULL,"Dreadfort","0:04:11",NULL,"To The Vale",NULL,NULL,NULL,NULL,"Longclaw",NULL,"Meereen",NULL,"0:04:18"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Missandei",NULL,"gives",NULL,NULL,"Winterfell","0:04:18",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"Meereen",NULL,"0:05:12"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Barristan Selmy",NULL,"receives",NULL,NULL,"The Wall","0:05:12",NULL,"Castle Black",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"Meereen",NULL,"0:05:45"
NULL,NULL,NULL,NULL,"King",NULL,"Daenerys Targaryen",NULL,"has",NULL,NULL,"Meereen","0:05:45",NULL,"Castle Black",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"Meereen",NULL,"0:07:06"
NULL,NULL,NULL,NULL,NULL,NULL,"Grey Worm",NULL,NULL,NULL,NULL,NULL,"0:07:06",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"Meereen",NULL,"0:07:52"
NULL,NULL,NULL,NULL,NULL,NULL,"Mossador",NULL,NULL,NULL,NULL,NULL,"0:07:52",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"Meereen",NULL,"0:08:56"
NULL,NULL,NULL,NULL,NULL,NULL,"Elder Meereen Slave",NULL,NULL,NULL,NULL,NULL,"0:08:56",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"Meereen",NULL,"0:09:10"
NULL,NULL,NULL,NULL,NULL,NULL,"Valyrian Slave",NULL,NULL,NULL,NULL,NULL,"0:09:10",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"Meereen",NULL,"0:09:29"
NULL,NULL,NULL,NULL,NULL,NULL,"Mossador",NULL,NULL,NULL,NULL,NULL,"0:09:29",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"Meereen",NULL,"0:09:51"
NULL,NULL,NULL,NULL,NULL,NULL,"Elder Meereen Slave",NULL,NULL,NULL,NULL,NULL,"0:09:51",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"Meereen",NULL,"0:10:09"
NULL,NULL,NULL,NULL,NULL,NULL,"Valyrian Slave",NULL,NULL,NULL,NULL,NULL,"0:10:09",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:12:21"
NULL,NULL,NULL,NULL,NULL,NULL,"Grey Worm",NULL,NULL,NULL,NULL,NULL,"0:12:21",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:15:02"
NULL,NULL,NULL,NULL,NULL,NULL,"Great Master #1",NULL,NULL,NULL,NULL,NULL,"0:15:02",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Vale",NULL,"0:18:04"
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,"0:18:04",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:20:28"
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,"0:20:28",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:20:45"
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,"0:20:45",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:22:11"
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,"0:22:11",NULL,"Castle Black",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:22:58"
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,"0:22:58",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:23:35"
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,"0:23:35",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:24:34"
NULL,NULL,NULL,NULL,NULL,NULL,"Grey Worm",NULL,NULL,NULL,NULL,NULL,"0:24:34",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:24:41"
NULL,NULL,NULL,NULL,NULL,NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,"0:24:41",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:27:15"
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,"0:27:15",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:27:53"
NULL,NULL,NULL,NULL,NULL,NULL,"Barristan Selmy",NULL,NULL,NULL,NULL,NULL,"0:27:53",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:30:51"
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,"0:30:51",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:33:06"
NULL,NULL,NULL,NULL,NULL,NULL,"Bronn",NULL,NULL,NULL,NULL,NULL,"0:33:06",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:35:17"
NULL,NULL,NULL,NULL,NULL,NULL,"Jaime Lannister",NULL,NULL,NULL,NULL,NULL,"0:35:17",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:36:38"
NULL,NULL,NULL,NULL,NULL,NULL,"Tyrion Lannister",NULL,NULL,NULL,NULL,NULL,"0:36:38",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:36:46"
NULL,NULL,NULL,NULL,NULL,NULL,"Jaime Lannister",NULL,NULL,NULL,NULL,NULL,"0:36:46",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:37:10"
NULL,NULL,NULL,NULL,NULL,NULL,"Sansa Stark",NULL,NULL,NULL,NULL,NULL,"0:37:10",NULL,"The Lands of Always Winter",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"0:39:44"
NULL,NULL,NULL,NULL,NULL,NULL,"Petyr Baelish",NULL,NULL,NULL,NULL,NULL,"0:39:44",NULL,"The Lands of Always Winter",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:42:05"
NULL,NULL,NULL,NULL,NULL,NULL,"Olenna Tyrell",NULL,NULL,NULL,NULL,NULL,"0:42:05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:43:31"
NULL,NULL,NULL,NULL,NULL,NULL,"Margaery Tyrell",NULL,NULL,NULL,NULL,NULL,"0:43:31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:44:35"
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,"0:44:35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:45:49"
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,"0:45:49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:46:38"
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,"0:46:38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:47:02"
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,"0:47:02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:47:18"
NULL,NULL,NULL,NULL,NULL,NULL,"Olly",NULL,NULL,NULL,NULL,NULL,"0:47:18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:48:02"
NULL,NULL,NULL,NULL,NULL,NULL,"Locke",NULL,NULL,NULL,NULL,NULL,"0:48:02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:48:15"
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,"0:48:15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:48:41"
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,"0:48:41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:51:15"
NULL,NULL,NULL,NULL,NULL,NULL,"Locke",NULL,NULL,NULL,NULL,NULL,"0:51:15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:52:51"
NULL,NULL,NULL,NULL,NULL,NULL,"Alliser Thorne",NULL,NULL,NULL,NULL,NULL,"0:52:51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:53:43"
NULL,NULL,NULL,NULL,NULL,NULL,"Janos Slynt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Olly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Alliser Thorne",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Janos Slynt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Locke",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Locke",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Alliser Thorne",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Cersei Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jaime Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Tommen Baratheon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Tommen Baratheon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Margaery Tyrell",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jaime Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Brienne of Tarth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
